Name,10 wickets in match,100s/50s,2001–2005,2001–2007,2006–,5 wickets in innings,allegiance,alma mater,awards,balls bowled,based in,batting,batting average,battles/wars,best bowling,born,bowling,bowling average,cabinet,catches/stumpings,cause of death,children,citizenship,civilian awards,commands,committees,competition,current team,date of birth,died,domestic partner,education,event(s),father,full name,known for,last odi,last test,matches,military awards,mother,national side,nationality,net worth,nickname(s),notable award(s),notable awards,occupation,odi debut (cap 60),other politicalaffiliations,parents,place of birth,playing position,political party,predecessor,profession,rank,relations,relatives,religion,residence,resting place,runs scored,salary,service/branch,sport,spouse(s),test debut (cap 107),top score,unit,website,wickets,years,years of service
SyedUsmanMehmood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
SyedZiaAbbasShah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
TahiaNoon,,,,,,,,,,,,,,,, (1973-05-20) 20 may 1973 (age 45)karachi,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,malik adnan hayat noon[1],,,,,,,
TahiraAsif,,,,,,,,,,,,,,,,1961lahore| pakistan,,,,,,,,,,,,,,19 june 2014lahore| pakistan,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
TahiraSafdar,,,,,,,,cantonment public school| quettagovernment girls college| quettauniversity of balochistanuniversity law college| quetta,,,,,,,, (1957-10-05) 5 october 1957 (age 61)quetta| balochistan| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,syed imtiaz hussain baqri hanafi (father),,,,,,,,,,,,,,,,,,,,,,,
TahirIqbal,,,,,,,,,,,,,,,, (1951-05-15) 15 may 1951 (age 67),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TahirSadiqKhan,,,,,,,,,,,,,,,,,,,,,,muhammad zain elahi (son)[1],,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,chaudhry pervaiz elahi (brother-in-law)[2],,,,,,,,,,,,,,,
TaimurSaleemKhanJhagra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,ghulam ishaq khan (grandfather)[1]  iftikhar khan jhagra (uncle)[1],,,,,,,,,,,,,,,
TajMuhammadAfridi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,alhaj shah jee gul afridi (brother),,,,,,,,,,,,,,,
TalatFatemehNaqvi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
TanveerAslamMalik,,,,,,,,,,,,,,,, (1972-06-10) 10 june 1972 (age 46)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
TariqMasihGill,,,,,,,,,,,,,,,, (1962-11-10) 10 november 1962 (age 56),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
TariqMasoodArain,,,,,,,,,,,,,,,, (1973-07-01) 1 july 1973 (age 45)shaheed benazirabad district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
TayyabHussain,,,,,,,,ned university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mqm,,,,,,,latifabad| hyderabad,,,,,,,,,,,,,
TitusJohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,balochistan national party (mengal),,,,,,,,,,,,,,,,,,,,
TufailAnjum,,,,,,,,,,,,,,,, (1985-04-16) 16 april 1985 (age 33)mardan district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
TunkuAbdulRahman,,,,,,,,st catharine's college| cambridgeinner temple,,,,,,,,(1903-02-08)8 february 1903alor star| kedah| siam (now malaysia),,,,,,"tunku khadijahtunku ahmad nerang 
sulaiman (adopted)  mariam (adopted)  faridah (adopted)",malaysian,,,,,,,6 december 1990(1990-12-06) (aged 87)kuala lumpur| malaysia,,,,,,,,,,,,,,,,,,,,,,,,united malays national organisation (1946–1988),,lawyer,,,grandchildren:sharifah intansharifah hanizahsharifah menjelaratunku putri rozainitunku muinuddin putratunku norain putratunku soraya putratunku munawira putra,,,kedah royal mausoleum,,,,,meriam chong (1933–1935)violet coulson (1935–1946)sharifah rodziah (1939–1990),,,,,,,
UmarKhanJamali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
UmerTanveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
UmulBaninAli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
UsmanIbrahim,,,,,,,,,,,,,,,, (1939-09-01) 1 september 1939 (age 79),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
UsmanKhanKakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakhtunkhwa milli awami party,,,,,,,,,,,,,,,,,,,,
UswahAftab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
UzmaKardar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
UzmaQadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,zaeem qadri (husband)[1],,,,,,,,,,,,,,,,
UzmaZahidBukhari,,,,,,,,,,,,,,,, (1976-08-18) 18 august 1976 (age 42)faisalabad,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,pakistan peoples party (until 2013),,,,pakistan muslim league (n),,,,,,,,,,,,,sami ullah khan[1],,,,,,,
VallabhbhaiPatel,,,,,,,,inns of court, bharat ratna (1991) (posthumously),,,,,,,vallabhbhai jhaverbhai patel(1875-10-31)31 october 1875nadiad| bombay presidency| british india,,,,,heart attack,maniben pateldahyabhai patel,,,,,,,,15 december 1950(1950-12-15) (aged 75)bombay| bombay state| india,,,,jhaverbhai patel,,,,,,,ladba,,,,,,,,,,,,,indian national congress,,barristerpoliticianactivistfreedom fighter,,,,,,,,,,,jhaverba patel,,,,,,,
WaheedAlamKhan,,,,,,,,,,,,,,,, (1949-04-01) 1 april 1949 (age 69)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
WajidUllahKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
WaseemuddinQureshi,,,,,,,,,,,,,,,, (1967-06-11) 11 june 1967 (age 51)karachi,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,mutahida quami movement,,,,,,,,,,,,,,,,,,,,
WasiqQayyumAbbasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
WazirZada,,,,,,,,,,,,,,,,c. 1984[1],,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
YasminRashid,,,,,,,,,,,,,,,, (1950-09-21) 21 september 1950 (age 68)chakwal| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
YousafRazaGillani,,,,,,,,forman christian collegegovernment college universityuniversity of the punjab,,,,,,,,syed yousuf raza gillani (1952-07-09) 9 july 1952 (age 66)multan| punjab| pakistan,,,,,,5,,,,,,,,,,,,,,,,,,,,,,₨77.5 million (us$730|000)[2],,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,fauzia gillani[1],,,,,,,
ZafarAzam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,,,,,,,,,,,,,,,,,
ZafarullahKhanJamali,,,,,,,,government college universitypunjab university,,,,,,,, (1944-01-01) january 1| 1944 (age 74)[1]dera murad jamali| baluchistan agency| british india(now in balochistan| pakistan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party (before 1977)independent (1977–1985)pakistan muslim league (1985–1988) islami jamhoori ittehad (1988–1993)pakistan muslim league (n) (1993–2002| 2013–2018),,,,pakistan tehreek-e-insaf,,,,,a.r. jamali (brother),,,,,,,,,,,,,,,
ZaheerIqbalChannar,,,,,,,,,,,,,,,,bahawalpur| punjab| pakistan,,,,,,,,,,,,,,,,,,malik muhammad iqbal channar,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ZahidAkramDurrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,akram khan durrani[1],,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,,,,,,,,,,,,,,,,,
ZahirQadeer,,,,,,,,,,,,,,,,nangarhar province| afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,afghanistan,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,
ZahoorAhmedBuledi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,balochistan awami party,,,,,,,,,,,,,,,,,,,,
ZahoorHussainQureshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,shah mehmood qureshi (uncle)[1],,,,,,,,,,,,,,,
ZaibunNisaAwan,,,,,,,,,,,,,,,, (1963-09-03) 3 september 1963 (age 55)talagang,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ZainabUmair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ZakaAshraf,,,,,,,,,,,,,,,,muhammad zaka ashraf (1952-09-09) 9 september 1952 (age 66)mandi bahauddin| punjab province| west-pakistan,,,,,,,,,,,,,,,,,,chaudhry muhammad ashraf,,,,,,,,,pakistani,,,,,,,,,,,,,businessman,,begum ishrat ashraf (sister),,,,,,,,,naushaba zaka ashraf,,,,agipk.com,,,
ZareenRiaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ZawarHussainWarraich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ZeenatBibi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ZiaUllahKhan,,,,,,, pakistan,national defense university,,,,,,indo-pakistani war of 1965  indo-pakistani war of 1971,,,,,,,,asad ullah khan,,,,,,,,2016lahore| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,, lieutenant-general,ghulam jilani khan,,,,,,, pakistan army,,,,,10th baluch regiment,,,,
ZmarakKhanAchakzai,,,,,,,,,,,,,,,, (1962-08-14) 14 august 1962 (age 56)killa abdullah district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,awami national party,,,,,,,,,,,,,,,,,,,,
ZulfikarAliBhutto,,,,,,,,uc berkeleychrist church| oxfordsociety of lincoln's inn,,,,,,,,(1928-01-05)5 january 1928ratodero taluka| sind| british india(now in sindh| pakistan),,,,,,benazirmurtazasanamshahnawaz,,,,,,,,4 april 1979(1979-04-04) (aged 51)rawalpindi| punjab| pakistan,,,,,,,,,,,,,british indian (1928–1947)pakistani (1947–1979),,,,,,,,,,,pakistan people's party,,lawyer| politician,,bhutto familyzardari family,,,,garhi khuda bakhsh,,,,,shireen amir begum (m. 1943) [1]nusrat ispahani (m. 1951)[2],,,,,,,
ZulfiqarAliBhatti,,,,,,,,,,,,,,,, (1963-10-01) 1 october 1963 (age 55),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
